 Representative Exchange Rates for Selected Currencies for February 2026
Currency,"February 02, 2026","February 03, 2026","February 04, 2026","February 05, 2026","February 06, 2026","February 09, 2026","February 10, 2026","February 11, 2026","February 12, 2026","February 13, 2026","February 17, 2026"
Chinese yuan,6.951800,6.936400,6.936700,6.941900,6.940300,6.928600,6.912600,6.911200,6.902300,6.909900,NA
Euro(1),1.184000,1.180100,1.182000,1.179800,1.179400,1.188600,1.189400,1.190000,1.187400,1.186200,1.182600
Japanese yen,155.240000,155.550000,156.030000,156.790000,156.760000,156.890000,156.100000,NA,153.100000,152.870000,153.300000
U.K. pound(1),1.369950,1.365300,1.371050,1.356700,1.358450,1.364150,1.366350,1.369150,1.364950,1.360200,1.356350
U.S. dollar,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Algerian dinar,129.567500,129.742000,129.683800,129.823500,129.887400,129.654800,129.369600,129.282400,129.480200,129.544200,129.666400
Australian dollar(1),0.694200,0.701000,0.702400,0.697200,0.694400,0.702500,0.707500,0.711200,0.711600,0.708600,0.706900
Botswana pula(1),0.077200,0.078000,0.078000,0.077500,0.077300,0.077900,0.078200,0.078200,0.078100,0.077900,0.077800
Brazilian real,5.258100,5.223000,5.235300,5.257400,5.233500,5.193700,5.201500,5.183000,5.166800,5.228200,NA
Brunei dollar,1.271800,1.270100,1.271100,1.274300,1.274200,1.271400,1.264900,1.263200,1.261800,1.263000,NA
Canadian dollar,1.367600,1.365200,1.366800,1.367600,NA,1.357600,1.354400,1.357400,1.360500,1.361400,1.365600
Chilean peso,865.100000,868.520000,859.530000,857.590000,865.670000,859.660000,854.250000,856.060000,856.380000,854.410000,862.910000
Czech koruna,20.527000,20.600000,20.603000,20.615000,20.552000,20.367000,20.398000,20.375000,20.419000,20.453000,20.522000
Danish krone,6.308400,6.328900,6.317500,6.328400,6.331400,6.284000,6.281700,6.277100,6.292100,6.298200,6.317100
Indian rupee,91.644300,90.449500,90.469300,90.395700,90.416300,90.400600,90.577300,90.567500,90.594700,90.741500,90.774400
Israeli New Shekel,3.101000,3.088000,3.086000,3.117000,3.125000,3.106000,3.084000,3.078000,3.068000,3.081000,3.105000
Korean won,"1,436.700000","1,457.300000","1,449.000000","1,451.200000","1,464.100000","1,470.300000","1,464.300000","1,457.700000","1,454.400000","1,443.400000",NA
Kuwaiti dinar,0.305300,0.305450,0.305450,0.305600,NA,0.305500,0.305150,0.305050,0.305150,NA,0.305150
Malaysian ringgit,NA,3.943000,3.927500,3.949000,3.954500,3.936000,3.924500,3.926000,3.907000,3.900500,NA
Mauritian rupee,45.846600,46.098000,46.096600,46.181300,NA,46.310300,45.882100,45.954600,46.024700,45.979200,NA
Mexican peso,NA,17.235000,17.292500,17.407000,17.298800,17.190700,17.231500,17.215500,17.200000,17.179800,17.175300
New Zealand dollar(1),0.602900,0.602050,0.603750,0.600550,NA,0.602100,0.604700,0.604650,0.605200,0.603250,0.602950
Norwegian krone,9.683700,9.678800,9.644200,9.725400,9.724900,9.615500,9.510300,9.466400,9.477400,9.548100,NA
Omani rial,0.384500,0.384500,0.384500,0.384500,NA,0.384500,0.384500,0.384500,0.384500,NA,0.384500
Peruvian sol,3.350000,3.358000,3.359000,3.356000,3.363000,3.355000,3.351000,3.353000,3.352000,3.351000,3.344000
Philippine peso,58.954000,58.887000,58.867000,58.968000,58.827000,58.619000,58.443000,58.481000,58.393000,58.180000,NA
Polish zloty,3.549500,3.578500,3.575500,3.579900,3.574900,3.552700,3.537700,3.538700,3.544100,3.552800,3.560700
Qatari riyal,3.640000,3.640000,3.640000,3.640000,NA,3.640000,NA,3.640000,3.640000,NA,3.640000
Saudi Arabian riyal,3.750000,3.750000,3.750000,3.750000,NA,3.750000,3.750000,3.750000,3.750000,NA,3.750000
Singapore dollar,1.271800,1.270100,1.271100,1.274300,1.274200,1.271400,1.264900,1.263200,1.261800,1.263000,NA
Swedish krona,8.947210,8.938650,8.948390,9.019330,9.049940,8.960540,8.923410,8.877310,8.899280,8.957510,NA
Swiss franc,0.775400,0.778300,0.776400,0.777500,0.778050,0.771500,0.766650,0.766100,NA,0.769800,0.770500
Thai baht,31.662000,31.466000,31.576000,31.807000,31.715000,31.258000,31.141000,31.110000,31.047000,31.097000,31.231000
Trinidadian dollar,6.721600,6.711900,6.717000,6.723100,NA,6.737900,6.722500,6.757900,6.736200,6.726000,NA
U.A.E. dirham,3.672500,3.672500,3.672500,3.672500,NA,3.672500,3.672500,3.672500,3.672500,NA,3.672500
Uruguayan peso,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.841000,NA

Representative Exchange Rates for Selected Currencies for February 2026 Continued

Currency,"February 18, 2026","February 19, 2026","February 20, 2026","February 23, 2026","February 24, 2026","February 25, 2026","February 26, 2026","February 27, 2026"
Chinese yuan,NA,NA,NA,NA,6.889700,6.867400,6.838200,6.854500
Euro(1),1.184500,1.175300,1.176700,1.178400,1.177700,1.178400,1.181400,1.180500
Japanese yen,153.200000,154.700000,155.150000,NA,154.820000,155.780000,156.100000,155.760000
U.K. pound(1),1.357700,1.346500,1.347400,1.348900,1.348650,1.350600,1.352950,1.346800
U.S. dollar,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Algerian dinar,129.660600,129.840900,130.050400,129.747900,129.939800,129.870000,129.782800,129.777000
Australian dollar(1),0.707000,0.705100,0.703300,NA,0.706000,0.710700,0.712700,0.712600
Botswana pula(1),0.077900,0.077700,0.077300,0.077800,0.077700,0.077900,0.078100,0.078000
Brazilian real,5.234300,5.225000,5.200000,5.162900,5.167600,5.143400,5.137600,5.148900
Brunei dollar,NA,NA,1.269300,NA,NA,1.265500,1.263300,1.263600
Canadian dollar,1.367800,1.369600,1.368900,1.368900,1.370800,1.368500,1.368800,1.364200
Chilean peso,868.240000,863.290000,866.740000,867.130000,867.290000,865.360000,857.580000,861.190000
Czech koruna,20.474000,20.623000,20.596000,NA,20.568000,20.546000,20.522000,20.541000
Danish krone,6.307600,NA,6.349600,6.339700,NA,6.340200,NA,6.329400
Indian rupee,90.666900,NA,90.951800,90.746100,90.966100,90.950200,90.907200,90.954200
Israeli New Shekel,3.098000,3.136000,3.123000,NA,3.114000,3.100000,3.110000,3.122000
Korean won,NA,"1,443.100000","1,450.700000","1,448.700000","1,442.000000","1,445.800000","1,435.300000","1,424.500000"
Kuwaiti dinar,0.305300,0.305450,NA,0.305300,0.305500,NA,NA,NA
Malaysian ringgit,NA,3.916000,3.910000,3.891000,3.898500,3.893500,3.887500,3.884500
Mauritian rupee,46.084400,46.549800,46.737600,46.480000,46.637200,46.557300,46.584700,46.648100
Mexican peso,17.139200,17.270000,17.172200,17.216200,17.191000,17.170000,17.256300,17.219300
New Zealand dollar(1),0.602500,0.596650,0.596550,0.599250,NA,0.597200,0.600200,0.597750
Norwegian krone,9.479500,9.574600,9.564000,9.554100,9.558900,NA,9.559000,9.494700
Omani rial,0.384500,0.384500,NA,0.384500,NA,0.384500,0.384500,0.384500
Peruvian sol,3.344000,3.345000,3.360000,3.353000,NA,3.354000,3.353000,3.353000
Philippine peso,57.955000,57.942000,57.964000,58.135000,57.779000,NA,57.597000,57.554000
Polish zloty,3.561000,3.578000,3.589800,3.573700,NA,3.578500,3.579200,3.580400
Qatari riyal,3.640000,3.640000,NA,3.640000,NA,3.640000,3.640000,NA
Saudi Arabian riyal,3.750000,3.750000,NA,3.750000,NA,3.750000,3.750000,NA
Singapore dollar,NA,1.267600,1.269300,1.264600,NA,1.265500,1.263300,1.263600
Swedish krona,8.962430,NA,9.071560,9.076290,9.075320,NA,NA,9.033710
Swiss franc,0.771100,0.774100,0.776200,NA,0.773700,0.775500,0.775200,0.772200
Thai baht,31.266000,31.227000,31.197000,31.007000,NA,31.034000,31.068000,31.058000
Trinidadian dollar,6.711700,6.737300,6.727800,6.749300,6.750000,6.761000,6.726200,6.725000
U.A.E. dirham,3.672500,NA,NA,3.672500,NA,3.672500,NA,NA
Uruguayan peso,38.790000,38.760000,38.708000,38.353000,38.397000,38.396000,38.436000,38.402000

Notes:


"These representative exchange rates, which are reported to the Fund by the issuing central bank, are expressed in terms of currency units per U.S. dollar, except for those indicated by"

"(1) which are in terms of U.S. dollars per currency unit, and those indicated by"
